Symbol,Name,Sector
WHR,Whirlpool Corporation,Consumer Durables
SLB,Schlumberger N.V.,Energy
HON,Honeywell International Inc.,Capital Goods
SYY,Sysco Corporation,Consumer Non-Durables
PM,Philip Morris International Inc,Consumer Non-Durables
T,AT&T Inc.,Public Utilities
DUK,Duke Energy Corporation,Public Utilities
DHR,Danaher Corporation,Capital Goods
CACI,"CACI International, Inc.",Technology
SWX,"Southwest Gas Holdings, Inc.",Public Utilities
AMOV,"America Movil, S.A.B. de C.V.",Public Utilities
NKTR,Nektar Therapeutics,Health Care
WEC,"WEC Energy Group, Inc.",Public Utilities
FE,FirstEnergy Corp.,Public Utilities
VGR,Vector Group Ltd.,Consumer Non-Durables
CMS,CMS Energy Corporation,Public Utilities
GE,General Electric Company,Energy
LMT,Lockheed Martin Corporation,Capital Goods
OXY,Occidental Petroleum Corporation,Energy
PNW,Pinnacle West Capital Corporation,Public Utilities
CVS,CVS Health Corporation,Health Care
WY,Weyerhaeuser Company,Consumer Services
EPAY,"Bottomline Technologies, Inc.",Technology
UVV,Universal Corporation,Consumer Services
EMR,Emerson Electric Company,Energy
MRO,Marathon Oil Corporation,Energy
CRC,California Resources Corporation,Energy
GATX,GATX Corporation,Consumer Services
EPD,Enterprise Products Partners L.P.,Public Utilities
RBA,Ritchie Bros. Auctioneers Incorporated,Miscellaneous
CBT,Cabot Corporation,Basic Industries
PSX,Phillips 66,Energy
EFX,"Equifax, Inc.",Finance
XOM,Exxon Mobil Corporation,Energy
QCOM,QUALCOMM Incorporated,Technology
CSX,CSX Corporation,Transportation
HAL,Halliburton Company,Energy
LB,"L Brands, Inc.",Consumer Services
UFS,Domtar Corporation,Basic Industries
HES,Hess Corporation,Energy
CHDN,"Churchill Downs, Incorporated",Consumer Services
UNH,UnitedHealth Group Incorporated,Health Care
MMC,"Marsh & McLennan Companies, Inc.",Finance
TOT,Total S.A.,Energy
BAX,Baxter International Inc.,Health Care
NAV,Navistar International Corporation,Capital Goods
SEE,Sealed Air Corporation,Basic Industries
PRGO,Perrigo Company,Health Care
AEE,Ameren Corporation,Public Utilities
COP,ConocoPhillips,Energy
DNR,Denbury Resources Inc.,Energy
ES,Eversource Energy,Public Utilities
XEL,Xcel Energy Inc.,Public Utilities
AA,Alcoa Corporation,Basic Industries
PFE,"Pfizer, Inc.",Health Care
PBI,Pitney Bowes Inc.,Miscellaneous
RIO,Rio Tinto Plc,Basic Industries
NI,"NiSource, Inc",Public Utilities
MSFT,Microsoft Corporation,Technology
GM,General Motors Company,Capital Goods
SANM,Sanmina Corporation,Technology
CCL,Carnival Corporation,Consumer Services
LYB,LyondellBasell Industries NV,Basic Industries
INGR,Ingredion Incorporated,Consumer Non-Durables
GLP,Global Partners LP,Energy
VC,Visteon Corporation,Capital Goods
NWE,NorthWestern Corporation,Public Utilities
NBR,Nabors Industries Ltd.,Energy
CNSL,"Consolidated Communications Holdings, Inc.",Public Utilities
ETN,"Eaton Corporation, PLC",Technology
ABBV,AbbVie Inc.,Health Care
AVY,Avery Dennison Corporation,Consumer Durables
AON,Aon plc,Finance
DE,Deere & Company,Capital Goods
WPP,WPP plc,Technology
RIG,Transocean Ltd.,Energy
VZ,Verizon Communications Inc.,Public Utilities
ETR,Entergy Corporation,Public Utilities
APD,"Air Products and Chemicals, Inc.",Basic Industries
KSU,Kansas City Southern,Transportation
EIX,Edison International,Public Utilities
DTE,DTE Energy Company,Public Utilities
NE,Noble Corporation,Energy
MU,"Micron Technology, Inc.",Technology
VOD,Vodafone Group Plc,Public Utilities
MLM,"Martin Marietta Materials, Inc.",Basic Industries
MAS,Masco Corporation,Capital Goods
ENR,"Energizer Holdings, Inc.",Miscellaneous
MO,Altria Group,Consumer Non-Durables
